UDI,Product ID,Air temperature [K],Process temperature [K],Rotational speed [rpm],Torque [Nm],Tool wear [min],Machine failure,TWF,HDF,PWF,OSF,RNF,time_index,rolling_avg_temp,rolling_avg_rot_speed,rolling_avg_torque,ema_temp,ema_rot_speed,ema_torque,lag_temp,lag_rot_speed,lag_torque,temp_torque_interaction,cumsum_temp,cumsum_rot_speed,cumsum_torque,roc_temp,roc_rot_speed,roc_torque,temp_outlier,temp_squared,rot_speed_squared,torque_squared,binned_temp,binned_rot_speed,binned_torque,failure_rate,time_since_last_failure,Type_L,Type_M
2535,L49714,298.9,308.7,1729,26.6,73,0,0,0,0,0,0,2534,298.86,1511.2,39.1,298.85483428135535,1564.9498307142965,34.888351354411114,298.8,1490.0,33.6,7950.74,755477.4999999999,3893774,101780.70000000006,0.0003346720214187915,0.16040268456375828,-0.20833333333333337,False,89341.20999999999,2989441,707.5600000000001,1,3,0,0.0,65.0,True,False
2536,L49715,299.0,308.8,1495,38.4,75,0,0,0,0,0,0,2535,298.88,1522.6,36.440000000000005,298.9032228542369,1541.6332204761977,36.05890090294074,298.9,1729.0,26.6,11481.6,755776.4999999999,3895269,101819.10000000005,0.00033456005352960894,-0.13533834586466165,0.4436090225563909,False,89401.0,2235025,1474.56,1,1,1,0.0,65.0,True,False
2537,L49716,298.9,308.8,1281,53.9,77,0,0,0,0,0,0,2536,298.9,1476.8,39.480000000000004,298.90214856949126,1454.7554803174653,42.005933935293825,299.0,1495.0,38.4,16110.71,756075.3999999999,3896550,101873.00000000004,-0.00033444816053518345,-0.1431438127090301,0.40364583333333326,False,89341.20999999999,1640961,2905.21,1,0,3,0.0,65.0,True,False
2538,H31951,298.9,308.7,1353,48.1,79,0,0,0,0,0,0,2537,298.9,1469.6,40.12,298.90143237966083,1420.8369868783102,44.037289290195886,298.9,1281.0,53.9,14377.09,756374.2999999999,3897903,101921.10000000005,0.0,0.0562060889929743,-0.10760667903525045,False,89341.20999999999,1830609,2313.61,1,0,3,0.0,65.0,False,False
2539,L49718,299.1,308.8,1429,50.1,84,0,0,0,0,0,0,2538,298.9599999999999,1457.4,43.42,298.9676215864406,1423.5579912522069,46.05819286013059,298.9,1353.0,48.1,14984.910000000002,756673.3999999999,3899332,101971.20000000006,0.0006691201070594399,0.05617147080561713,0.04158004158004158,False,89460.81000000001,2042041,2510.01,1,1,3,0.0,65.0,True,False
2540,L49719,299.1,308.8,1413,42.1,86,0,0,0,0,0,0,2539,299.0,1394.2,46.52,299.01174772429374,1420.0386608348047,44.738795240087065,299.1,1429.0,50.1,12592.11,756972.4999999999,3900745,102013.30000000006,0.0,-0.011196641007697683,-0.1596806387225549,False,89460.81000000001,1996569,1772.41,1,0,2,0.0,65.0,True,False
2541,L49720,299.1,308.8,1502,38.3,88,0,0,0,0,0,0,2540,299.02,1395.6,46.5,299.0411651495292,1447.3591072232032,42.59253016005805,299.1,1413.0,42.1,11455.53,757271.5999999999,3902247,102051.60000000006,0.0,0.06298655343241322,-0.09026128266033262,False,89460.81000000001,2256004,1466.8899999999999,1,1,1,0.0,65.0,True,False
2542,H31955,299.1,308.8,1553,32.6,90,0,0,0,0,0,0,2541,299.06,1450.0,42.239999999999995,299.06077676635283,1482.5727381488023,39.261686773372034,299.1,1502.0,38.3,9750.660000000002,757570.6999999998,3903800,102084.20000000007,0.0,0.03395472703062574,-0.1488250652741513,False,89460.81000000001,2411809,1062.76,1,2,0,0.0,65.0,False,False
2543,H31956,299.2,308.9,1712,26.4,95,0,0,0,0,0,0,2542,299.12,1521.8,37.9,299.1071845109019,1559.0484920992017,34.97445784891469,299.1,1553.0,32.6,7898.879999999999,757869.8999999998,3905512,102110.60000000006,0.0003343363423602419,0.10238248551191242,-0.19018404907975472,False,89520.64,2930944,696.9599999999999,1,3,0,0.0,65.0,False,False
2544,L49723,299.3,309.0,1786,23.5,100,0,0,0,0,0,0,2543,299.15999999999997,1593.2,32.58,299.1714563406013,1634.698994732801,31.14963856594313,299.2,1712.0,26.4,7033.55,758169.1999999998,3907298,102134.10000000006,0.0003342245989306214,0.04322429906542058,-0.10984848484848475,False,89580.49,3189796,552.25,1,3,0,0.0,65.0,True,False
2545,L49724,299.2,309.0,1951,21.4,102,0,0,0,0,0,0,2544,299.18,1700.8,28.439999999999998,299.1809708937342,1740.1326631552008,27.89975904396209,299.3,1786.0,23.5,6402.879999999999,758468.3999999998,3909249,102155.50000000006,-0.0003341129301704937,0.09238521836506153,-0.08936170212765959,False,89520.64,3806401,457.9599999999999,1,3,0,0.0,65.0,True,False
2546,M17405,299.2,309.0,1541,36.3,104,0,0,0,0,0,0,2545,299.2,1708.6,28.04,299.1873139291561,1673.755108770134,30.69983936264139,299.2,1951.0,21.4,10860.96,758767.5999999997,3910790,102191.80000000006,0.0,-0.21014864172219372,0.6962616822429906,False,89520.64,2374681,1317.6899999999998,1,2,1,0.0,65.0,False,True
2547,L49726,299.2,309.1,1605,34.3,107,0,0,0,0,0,0,2546,299.21999999999997,1719.0,28.380000000000003,299.1915426194374,1650.8367391800896,31.899892908427596,299.2,1541.0,36.3,10262.56,759066.7999999997,3912395,102226.10000000006,0.0,0.04153147306943539,-0.05509641873278237,False,89520.64,2576025,1176.4899999999998,1,2,1,0.0,65.0,True,False
2548,L49727,299.2,309.1,1578,38.1,109,0,0,0,0,0,0,2547,299.21999999999997,1692.2,30.72,299.19436174629163,1626.5578261200599,33.96659527228506,299.2,1605.0,34.3,11399.52,759365.9999999997,3913973,102264.20000000007,0.0,-0.016822429906542036,0.110787172011662,False,89520.64,2490084,1451.6100000000001,1,2,1,0.0,65.0,True,False
2549,M17408,299.3,309.2,1440,37.5,111,0,0,0,0,0,0,2548,299.21999999999997,1623.0,33.519999999999996,299.2295744975278,1564.37188408004,35.14439684819004,299.2,1578.0,38.1,11223.75,759665.2999999997,3915413,102301.70000000007,0.0003342245989306214,-0.0874524714828897,-0.015748031496063075,False,89580.49,2073600,1406.25,1,1,1,0.0,65.0,False,True
2550,L49729,299.4,309.2,1489,42.3,114,0,0,0,0,0,0,2549,299.26,1530.6,37.7,299.2863829983519,1539.2479227200267,37.52959789879336,299.3,1440.0,37.5,12664.619999999999,759964.6999999997,3916902,102344.00000000007,0.0003341129301703827,0.03402777777777777,0.1279999999999999,False,89640.35999999999,2217121,1789.2899999999997,1,1,2,0.0,65.0,True,False
2551,L49730,299.4,309.3,1366,48.4,116,0,0,0,0,0,0,2550,299.29999999999995,1495.6,40.12,299.3242553322346,1481.4986151466846,41.15306526586224,299.4,1489.0,42.3,14490.96,760264.0999999997,3918268,102392.40000000007,0.0,-0.08260577568838146,0.1442080378250592,False,89640.35999999999,1865956,2342.56,1,0,3,0.0,65.0,True,False
2552,L49731,299.3,309.2,1541,37.2,118,0,0,0,0,0,0,2551,299.32,1482.8,40.7,299.31617022148976,1501.3324100977898,39.835376843908165,299.4,1366.0,48.4,11133.960000000001,760563.3999999998,3919809,102429.60000000006,-0.00033400133600525184,0.12811127379209375,-0.23140495867768585,False,89580.49,2374681,1383.8400000000001,1,2,1,0.0,65.0,True,False
2553,H31966,299.3,309.1,1552,40.7,120,0,0,0,0,0,0,2552,299.34000000000003,1477.6,41.22,299.31078014765984,1518.22160673186,40.123584562605444,299.3,1541.0,37.2,12181.510000000002,760862.6999999998,3921361,102470.30000000006,0.0,0.007138221933809197,0.09408602150537626,False,89580.49,2408704,1656.4900000000002,1,2,2,0.0,65.0,False,False
2554,L49733,299.3,309.1,1473,40.3,125,0,0,0,0,0,0,2553,299.34000000000003,1484.2,41.78,299.30718676510656,1503.14773782124,40.18238970840363,299.3,1552.0,40.7,12061.789999999999,761161.9999999999,3922834,102510.60000000006,0.0,-0.050902061855670144,-0.00982800982801002,False,89580.49,2169729,1624.0899999999997,1,1,2,0.0,65.0,True,False
2555,L49734,299.3,309.1,1531,37.9,127,0,0,0,0,0,0,2554,299.32,1492.6,40.9,299.30479117673775,1512.4318252141602,39.42159313893576,299.3,1473.0,40.3,11343.47,761461.2999999999,3924365,102548.50000000006,0.0,0.039375424304141315,-0.05955334987593053,False,89580.49,2343961,1436.4099999999999,1,2,1,0.0,65.0,True,False
2556,L49735,299.3,309.2,1511,37.2,129,0,0,0,0,0,0,2555,299.3,1521.6,38.660000000000004,299.30319411782517,1511.9545501427735,38.68106209262385,299.3,1531.0,37.9,11133.960000000001,761760.6,3925876,102585.70000000006,0.0,-0.013063357282821708,-0.01846965699208436,False,89580.49,2283121,1383.8400000000001,1,2,1,0.0,65.0,True,False
2557,M17416,299.3,309.1,1449,47.9,131,0,0,0,0,0,0,2556,299.3,1503.2,40.8,299.30212941188347,1490.9697000951824,41.75404139508257,299.3,1511.0,37.2,14336.47,762059.9,3927325,102633.60000000005,0.0,-0.041032428855062864,0.2876344086021505,False,89580.49,2099601,2294.41,1,1,3,0.0,65.0,False,True
2558,M17417,299.4,309.1,1440,50.0,134,0,0,0,0,0,0,2557,299.32,1480.8,42.660000000000004,299.33475294125566,1473.979800063455,44.50269426338838,299.3,1449.0,47.9,14969.999999999998,762359.3,3928765,102683.60000000005,0.0003341129301703827,-0.006211180124223614,0.04384133611691032,False,89640.35999999999,2073600,2500.0,1,1,3,0.0,65.0,False,True
2559,M17418,299.2,309.0,1881,23.9,137,0,0,0,0,0,0,2558,299.3,1562.4,39.379999999999995,299.2898352941704,1609.6532000423035,37.63512950892559,299.4,1440.0,50.0,7150.879999999999,762658.5,3930646,102707.50000000004,-0.0006680026720106147,0.3062499999999999,-0.522,False,89520.64,3538161,571.2099999999999,1,3,0,0.0,65.0,False,True
2560,L49739,299.3,309.0,1447,50.4,140,0,0,0,0,0,1,2559,299.3,1545.6,41.88,299.29322352944695,1555.435466694869,41.89008633928373,299.2,1881.0,23.9,15084.72,762957.8,3932093,102757.90000000004,0.0003342245989306214,-0.2307283359914939,1.1087866108786613,False,89580.49,2093809,2540.16,1,1,3,0.0,65.0,True,False
2561,M17420,299.4,309.1,1326,62.0,142,0,0,0,0,0,0,2560,299.32,1508.6,46.839999999999996,299.32881568629796,1478.9569777965796,48.59339089285582,299.3,1447.0,50.4,18562.8,763257.2000000001,3933419,102819.90000000004,0.0003341129301703827,-0.08362128541810643,0.23015873015873023,False,89640.35999999999,1758276,3844.0,1,0,3,0.0,65.0,False,True
2562,L49741,299.4,309.2,1607,31.7,145,0,0,0,0,0,0,2561,299.34,1540.2,43.6,299.3525437908653,1521.63798519772,42.962260595237225,299.4,1326.0,62.0,9490.98,763556.6000000001,3935026,102851.60000000003,0.0,0.21191553544494712,-0.4887096774193549,False,89640.35999999999,2582449,1004.89,1,2,0,0.0,65.0,True,False
2563,L49742,299.3,309.1,1551,39.1,147,0,0,0,0,0,0,2562,299.32,1562.4,41.42,299.3350291939102,1531.4253234651467,41.67484039682482,299.4,1607.0,31.7,11702.630000000001,763855.9000000001,3936577,102890.70000000004,-0.00033400133600525184,-0.034847542003733634,0.2334384858044165,False,89580.49,2405601,1528.8100000000002,1,2,1,0.0,65.0,True,False
2564,L49743,299.3,309.1,1496,37.2,149,0,0,0,0,0,0,2563,299.34000000000003,1485.4,44.08,299.32335279594014,1519.616882310098,40.18322693121655,299.3,1551.0,39.1,11133.960000000001,764155.2000000002,3938073,102927.90000000004,0.0,-0.03546099290780147,-0.04859335038363166,False,89580.49,2238016,1383.8400000000001,1,1,1,0.0,65.0,True,False
2565,L49744,299.3,309.1,1493,38.0,151,0,0,0,0,0,0,2564,299.34000000000003,1494.6,41.6,299.31556853062676,1510.744588206732,39.455484620811035,299.3,1496.0,37.2,11373.4,764454.5000000002,3939566,102965.90000000004,0.0,-0.00200534759358284,0.021505376344086002,False,89580.49,2229049,1444.0,1,1,1,0.0,65.0,True,False
2566,L49745,299.4,309.1,1304,50.5,153,0,0,0,0,0,0,2565,299.34,1490.2,39.3,299.3437123537512,1441.8297254711547,43.13698974720736,299.3,1493.0,38.0,15119.699999999999,764753.9000000003,3940870,103016.40000000004,0.0003341129301703827,-0.1265907568653717,0.32894736842105265,False,89640.35999999999,1700416,2550.25,1,0,3,0.0,65.0,True,False
2567,M17426,299.3,309.0,1420,41.6,155,0,0,0,0,0,0,2566,299.32000000000005,1452.8,41.28,299.32914156916746,1434.5531503141033,42.624659831471575,299.4,1304.0,50.5,12450.880000000001,765053.2000000003,3942290,103058.00000000004,-0.00033400133600525184,0.08895705521472386,-0.17623762376237617,False,89580.49,2016400,1730.5600000000002,1,0,2,0.0,65.0,False,True
2568,L49747,299.4,309.1,1766,24.6,158,0,0,0,0,0,0,2567,299.34000000000003,1495.8,38.38,299.35276104611165,1545.0354335427355,36.616439887647715,299.3,1420.0,41.6,7365.24,765352.6000000003,3944056,103082.60000000005,0.0003341129301703827,0.2436619718309858,-0.40865384615384615,False,89640.35999999999,3118756,605.1600000000001,1,3,0,0.0,65.0,True,False
2569,L49748,299.6,309.2,1450,43.1,160,0,0,0,0,0,0,2568,299.4,1486.6,39.559999999999995,299.4351740307411,1513.356955695157,38.77762659176514,299.4,1766.0,24.6,12912.760000000002,765652.2000000003,3945506,103125.70000000006,0.0006680026720109478,-0.17893544733861833,0.7520325203252032,False,89760.16000000002,2102500,1857.6100000000001,1,1,2,0.0,65.0,True,False
2570,H31983,299.5,309.2,1872,22.6,162,0,0,0,0,0,0,2569,299.44,1562.4,36.480000000000004,299.45678268716074,1632.9046371301047,33.385084394510095,299.6,1450.0,43.1,6768.700000000001,765951.7000000003,3947378,103148.30000000006,-0.00033377837116166376,0.29103448275862065,-0.4756380510440835,False,89700.25,3504384,510.76000000000005,1,3,0,0.0,65.0,False,False
2571,L49750,299.6,309.2,1713,26.5,167,0,0,0,0,0,0,2570,299.48,1644.2,31.680000000000007,299.50452179144054,1659.6030914200699,31.09005626300673,299.5,1872.0,22.6,7939.400000000001,766251.3000000003,3949091,103174.80000000006,0.0003338898163607329,-0.08493589743589747,0.17256637168141586,False,89760.16000000002,2934369,702.25,1,3,0,0.0,65.0,True,False
2572,M17431,299.5,309.2,1497,40.9,169,0,0,0,0,0,0,2571,299.52,1659.6,31.54,299.50301452762704,1605.4020609467134,34.360037508671155,299.6,1713.0,26.5,12249.55,766550.8000000003,3950588,103215.70000000006,-0.00033377837116166376,-0.1260945709281961,0.5433962264150942,False,89700.25,2241009,1672.81,1,1,2,0.0,65.0,False,True
2573,M17432,299.4,309.1,1352,44.7,172,0,0,0,0,0,0,2572,299.52000000000004,1576.8,35.56,299.46867635175136,1520.934707297809,37.80669167244744,299.5,1497.0,40.9,13383.18,766850.2000000003,3951940,103260.40000000005,-0.00033388981636062187,-0.09686038744154979,0.09290953545232283,False,89640.35999999999,1827904,1998.0900000000001,1,0,2,0.0,65.0,False,True
2574,L49753,299.5,309.2,1499,41.5,175,0,0,0,0,0,0,2573,299.5,1586.6,35.24,299.47911756783424,1513.6231381985394,39.0377944482983,299.4,1352.0,44.7,12429.25,767149.7000000003,3953439,103301.90000000005,0.00033400133600536286,0.10872781065088755,-0.0715883668903804,False,89700.25,2247001,1722.25,1,1,2,0.0,65.0,True,False
2575,L49754,299.5,309.3,1972,19.3,177,0,0,0,0,0,0,2574,299.5,1606.6,34.58,299.48607837855616,1666.415425465693,32.45852963219887,299.5,1499.0,41.5,5780.35,767449.2000000003,3955411,103321.20000000006,0.0,0.3155436957971982,-0.5349397590361445,False,89700.25,3888784,372.49,1,3,0,0.0,65.0,True,False
2576,L49755,299.5,309.3,1422,49.2,179,0,0,0,0,0,0,2575,299.48,1548.4,39.12,299.4907189190375,1584.9436169771288,38.03901975479924,299.5,1972.0,19.3,14735.400000000001,767748.7000000003,3956833,103370.40000000005,0.0,-0.2789046653144016,1.5492227979274613,False,89700.25,2022084,2420.6400000000003,1,0,3,0.0,65.0,True,False
2577,L49756,299.5,309.3,1523,41.5,181,0,0,0,0,0,0,2576,299.48,1553.6,39.24,299.49381261269167,1564.2957446514192,39.19267983653283,299.5,1422.0,49.2,12429.25,768048.2000000003,3958356,103411.90000000005,0.0,0.07102672292545709,-0.1565040650406505,False,89700.25,2319529,1722.25,1,2,2,0.0,65.0,True,False
2578,L49757,299.5,309.4,1563,41.5,183,0,0,0,0,0,0,2577,299.5,1595.8,38.6,299.4958750751278,1563.863829767613,39.961786557688555,299.5,1523.0,41.5,12429.25,768347.7000000003,3959919,103453.40000000005,0.0,0.02626395272488513,0.0,False,89700.25,2442969,1722.25,1,2,2,0.0,65.0,True,False
2579,L49758,299.4,309.3,1391,46.6,185,0,0,0,0,0,0,2578,299.47999999999996,1574.2,39.62,299.4639167167519,1506.2425531784088,42.17452437179237,299.5,1563.0,41.5,13952.039999999999,768647.1000000003,3961310,103500.00000000006,-0.00033388981636062187,-0.110044785668586,0.12289156626506026,False,89640.35999999999,1934881,2171.56,1,0,2,0.0,65.0,True,False
2580,L49759,299.3,309.1,1795,24.7,187,0,0,0,0,0,0,2579,299.43999999999994,1538.8,40.7,299.40927781116795,1602.4950354522725,36.34968291452825,299.4,1391.0,46.6,7392.71,768946.4000000004,3963105,103524.70000000006,-0.00033400133600525184,0.2904385334291877,-0.46995708154506444,False,89580.49,3222025,610.0899999999999,1,3,0,0.0,65.0,True,False
2581,L49760,299.3,309.1,1293,53.7,189,0,0,0,0,0,0,2580,299.4,1513.0,41.6,299.372851874112,1499.3300236348484,42.133121943018836,299.3,1795.0,24.7,16072.410000000002,769245.7000000004,3964398,103578.40000000005,0.0,-0.27966573816155993,1.1740890688259111,False,89580.49,1671849,2883.6900000000005,1,0,3,0.0,65.0,True,False
2582,L49761,299.2,309.1,1345,60.7,191,1,0,0,0,1,0,2581,299.34,1477.4,45.44,299.3152345827413,1447.8866824232323,48.322081295345896,299.3,1293.0,53.7,18161.44,769544.9000000004,3965743,103639.10000000005,-0.0003341129301704937,0.04021655065738594,0.13035381750465547,False,89520.64,1809025,3684.4900000000002,1,0,3,0.0,65.0,True,False
2583,L49762,299.2,309.0,1615,33.7,193,0,0,0,0,0,0,2582,299.28,1487.8,43.88,299.2768230551609,1503.5911216154882,43.44805419689727,299.2,1345.0,60.7,10083.04,769844.1000000003,3967358,103672.80000000005,0.0,0.2007434944237918,-0.4448105436573311,False,89520.64,2608225,1135.6900000000003,1,3,1,0.1,66.0,True,False
2584,L49763,299.2,308.9,1342,50.8,195,0,0,0,0,0,0,2583,299.24,1478.0,44.720000000000006,299.2512153701073,1449.7274144103255,45.89870279793151,299.2,1615.0,33.7,15199.359999999999,770143.3000000003,3968700,103723.60000000005,0.0,-0.16904024767801862,0.5074183976261126,False,89520.64,1800964,2580.64,1,0,3,0.1,66.0,True,False
2585,L49764,299.1,308.8,1502,46.7,197,0,0,0,0,0,0,2584,299.2,1419.4,49.12,299.20081024673823,1467.1516096068838,46.165801865287676,299.2,1342.0,50.8,13967.970000000001,770442.4000000003,3970202,103770.30000000005,-0.00033422459893039935,0.11922503725782407,-0.08070866141732269,False,89460.81000000001,2256004,2180.8900000000003,1,1,2,0.1,66.0,True,False
2586,M17445,299.0,308.7,1620,35.4,199,0,0,0,0,0,0,2585,299.14,1484.8,45.46,299.1338734978255,1518.101073071256,42.57720124352512,299.1,1502.0,46.7,10584.6,770741.4000000003,3971822,103805.70000000004,-0.00033433634236046395,0.07856191744340868,-0.24197002141327628,False,89401.0,2624400,1253.1599999999999,1,3,1,0.1,66.0,False,True
2587,L49766,299.0,308.7,1537,42.8,202,0,0,0,0,0,0,2586,299.1,1523.2,41.88,299.0892489985504,1524.4007153808375,42.65146749568341,299.0,1620.0,35.4,12797.199999999999,771040.4000000003,3973359,103848.50000000004,0.0,-0.051234567901234596,0.20903954802259883,False,89401.0,2362369,1831.8399999999997,1,2,2,0.1,66.0,True,False
2588,L49767,299.0,308.7,2248,16.8,204,0,0,0,0,0,0,2587,299.06000000000006,1649.8,38.5,299.05949933236695,1765.6004769205583,34.03431166378895,299.0,1537.0,42.8,5023.2,771339.4000000003,3975607,103865.30000000005,0.0,0.46258945998698753,-0.6074766355140186,False,89401.0,5053504,282.24,1,3,0,0.1,66.0,True,False
2589,L49768,299.0,308.7,1706,28.6,206,0,0,0,0,0,0,2588,299.02,1722.6,34.059999999999995,299.039666221578,1745.7336512803722,32.22287444252597,299.0,2248.0,16.8,8551.4,771638.4000000003,3977313,103893.90000000005,0.0,-0.24110320284697506,0.7023809523809523,False,89401.0,2910436,817.96,1,3,0,0.1,66.0,True,False
2590,L49769,299.0,308.7,2250,16.6,208,0,0,0,0,0,0,2589,299.0,1872.2,28.04,299.0264441477187,1913.822434186915,27.015249628350652,299.0,1706.0,28.6,4963.400000000001,771937.4000000003,3979563,103910.50000000006,0.0,0.3188745603751466,-0.4195804195804196,False,89401.0,5062500,275.56000000000006,1,3,0,0.1,66.0,True,False
2591,L49770,299.0,308.7,1396,48.6,0,0,0,0,0,0,0,2590,299.0,1827.4,30.679999999999996,299.01762943181245,1741.2149561246101,34.210166418900435,299.0,2250.0,16.6,14531.4,772236.4000000003,3980959,103959.10000000006,0.0,-0.37955555555555553,1.927710843373494,False,89401.0,1948816,2361.96,1,0,3,0.1,66.0,True,False
2592,L49771,298.9,308.6,1522,46.4,2,0,0,0,0,0,0,2591,298.98,1824.4,31.4,298.97841962120833,1668.1433040830734,38.273444279266954,299.0,1396.0,48.6,13868.96,772535.3000000003,3982481,104005.50000000006,-0.00033444816053518345,0.09025787965616039,-0.04526748971193417,False,89341.20999999999,2316484,2152.96,1,2,2,0.1,66.0,True,False
2593,L49772,298.9,308.6,1539,45.4,4,0,0,0,0,0,0,2592,298.96000000000004,1682.6,37.12,298.95227974747223,1625.0955360553824,40.64896285284463,298.9,1522.0,46.4,13570.059999999998,772834.2000000003,3984020,104050.90000000005,0.0,0.011169513797634645,-0.02155172413793105,False,89341.20999999999,2368521,2061.16,1,2,2,0.0,66.0,True,False
2594,H32007,298.9,308.5,1415,54.0,6,0,0,0,0,0,0,2593,298.94,1624.4,42.2,298.9348531649815,1555.0636907035882,45.09930856856309,298.9,1539.0,45.4,16140.599999999999,773133.1000000003,3985435,104104.90000000005,0.0,-0.08057179987004548,0.18942731277533054,False,89341.20999999999,2002225,2916.0,1,0,3,0.0,66.0,False,False
2595,L49774,298.8,308.5,1446,37.0,11,0,0,0,0,0,0,2594,298.9,1463.6,46.28,298.8899021099877,1518.7091271357256,42.39953904570873,298.9,1415.0,54.0,11055.6,773431.9000000004,3986881,104141.90000000005,-0.0003345600535294979,0.021908127208480455,-0.31481481481481477,False,89281.44,2090916,1369.0,1,1,1,0.0,66.0,True,False
2596,M17455,298.8,308.6,1486,41.1,13,0,0,0,0,0,0,2595,298.86,1481.6,44.78,298.8599347399918,1507.8060847571505,41.96635936380582,298.8,1446.0,37.0,12280.68,773730.7000000004,3988367,104183.00000000006,0.0,0.027662517289073207,0.11081081081081079,False,89281.44,2208196,1689.21,1,1,2,0.0,66.0,False,True
2597,L49776,299.0,308.7,1426,38.6,16,0,0,0,0,0,0,2596,298.88,1462.4,43.220000000000006,298.9066231599945,1480.5373898381004,40.84423957587055,298.8,1486.0,41.1,11541.4,774029.7000000004,3989793,104221.60000000006,0.0006693440428380271,-0.04037685060565277,-0.06082725060827254,False,89401.0,2033476,1489.96,1,1,1,0.0,66.0,True,False
2598,L49777,299.0,308.7,1449,38.9,18,0,0,0,0,0,0,2597,298.9,1444.4,41.92,298.9377487733297,1470.0249265587336,40.19615971724704,299.0,1426.0,38.6,11631.1,774328.7000000004,3991242,104260.50000000006,0.0,0.016129032258064502,0.007772020725388629,False,89401.0,2099601,1513.2099999999998,1,1,1,0.0,66.0,True,False
2599,L49778,299.1,308.8,1320,67.5,20,1,0,0,1,0,0,2598,298.94,1425.4,44.62,298.99183251555314,1420.0166177058225,49.29743981149803,299.0,1449.0,38.9,20189.25,774627.8000000004,3992562,104328.00000000006,0.00033444816053518345,-0.08902691511387162,0.7352185089974295,False,89460.81000000001,1742400,4556.25,1,0,3,0.0,66.0,True,False
2600,M17459,299.2,308.9,1447,39.6,22,0,0,0,0,0,0,2599,299.02000000000004,1425.6,45.14,299.0612216770354,1429.0110784705485,46.06495987433202,299.1,1320.0,67.5,11848.32,774927.0000000003,3994009,104367.60000000006,0.0003343363423602419,0.0962121212121212,-0.41333333333333333,False,89520.64,2093809,1568.16,1,1,1,0.1,67.0,False,True
2601,L49780,299.3,309.0,1422,47.3,25,0,0,0,0,0,0,2600,299.12,1412.8,46.38,299.14081445135696,1426.6740523136991,46.476639916221345,299.2,1447.0,39.6,14156.89,775226.3000000004,3995431,104414.90000000007,0.0003342245989306214,-0.01727712508638568,0.19444444444444442,False,89580.49,2022084,2237.2899999999995,1,0,3,0.1,67.0,True,False
2602,L49781,299.3,309.1,1399,52.1,27,0,0,0,0,0,0,2601,299.17999999999995,1407.4,49.08,299.19387630090466,1417.449368209133,48.3510932774809,299.3,1422.0,47.3,15593.53,775525.6000000004,3996830,104467.00000000007,0.0,-0.016174402250351605,0.10147991543340384,False,89580.49,1957201,2714.4100000000003,1,0,3,0.1,67.0,True,False
2603,L49782,299.4,309.2,1427,41.5,29,0,0,0,0,0,0,2602,299.26000000000005,1403.0,49.6,299.2625842006031,1420.632912139422,46.06739551832061,299.3,1399.0,52.1,12425.099999999999,775825.0000000005,3998257,104508.50000000007,0.0003341129301703827,0.020014295925661285,-0.20345489443378117,False,89640.35999999999,2036329,1722.25,1,1,2,0.1,67.0,True,False
2604,M17463,299.3,309.2,1334,46.3,31,0,0,0,0,0,0,2603,299.3,1405.8,45.36,299.2750561337354,1391.7552747596146,46.144930345547074,299.4,1427.0,41.5,13857.59,776124.3000000005,3999591,104554.80000000008,-0.00033400133600525184,-0.06517168885774349,0.11566265060240966,False,89580.49,1779556,2143.6899999999996,1,0,2,0.1,67.0,False,True
2605,M17464,299.3,309.1,1385,45.6,34,0,0,0,0,0,0,2604,299.32,1393.4,46.56,299.2833707558236,1389.5035165064098,45.96328689703138,299.3,1334.0,46.3,13648.080000000002,776423.6000000006,4000976,104600.40000000008,0.0,0.03823088455772106,-0.015118790496760126,False,89580.49,1918225,2079.36,1,0,2,0.1,67.0,False,True
2606,L49785,299.4,309.2,1552,37.4,37,0,0,0,0,0,0,2605,299.34000000000003,1419.4,44.58,299.3222471705491,1443.6690110042732,43.10885793135425,299.3,1385.0,45.6,11197.56,776723.0000000006,4002528,104637.80000000008,0.0003341129301703827,0.12057761732851979,-0.17982456140350878,False,89640.35999999999,2408704,1398.76,1,2,1,0.1,67.0,True,False
2607,H32020,299.4,309.3,1534,37.5,39,0,0,0,0,0,0,2606,299.36,1446.4,41.660000000000004,299.34816478036606,1473.7793406695155,41.23923862090284,299.4,1552.0,37.4,11227.5,777022.4000000006,4004062,104675.30000000008,0.0,-0.011597938144329856,0.002673796791443861,False,89640.35999999999,2353156,1406.25,1,2,1,0.1,67.0,False,False
2608,L49787,299.4,309.3,1448,48.6,44,0,0,0,0,0,0,2607,299.36,1450.6,43.08,299.36544318691074,1465.1862271130103,43.69282574726856,299.4,1534.0,37.5,14550.84,777321.8000000006,4005510,104723.90000000008,0.0,-0.05606258148631027,0.29600000000000004,False,89640.35999999999,2096704,2361.96,1,1,3,0.1,67.0,True,False
2609,L49788,299.5,309.3,1409,44.7,46,0,0,0,0,0,0,2608,299.4,1465.6,42.760000000000005,299.4102954579405,1446.457484742007,44.028550498179044,299.4,1448.0,48.6,13387.650000000001,777621.3000000006,4006919,104768.60000000008,0.00033400133600536286,-0.026933701657458564,-0.08024691358024694,False,89700.25,1985281,1998.0900000000001,1,0,2,0.1,67.0,True,False
